rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,steering_wheel_torque
1541191733962779152,,26464,,1541191733,962652362,'',2.0
1541191733982747244,,26465,,1541191733,982611057,'',2.0
1541191734002087923,,26466,,1541191734,1988087,'',1.9375
1541191734022726791,,26467,,1541191734,22572392,'',1.875
1541191734042248671,,26468,,1541191734,42039057,'',1.875
1541191734062831874,,26469,,1541191734,62689318,'',1.9375
1541191734082169623,,26470,,1541191734,81943877,'',1.875
1541191734102662023,,26471,,1541191734,102508410,'',1.75
1541191734122763060,,26472,,1541191734,122616235,'',1.625
1541191734142663705,,26473,,1541191734,142536421,'',1.8125
1541191734162168641,,26474,,1541191734,162026767,'',1.6875
1541191734182694186,,26475,,1541191734,182592326,'',1.625
1541191734202233516,,26476,,1541191734,202077181,'',1.5625
1541191734222687238,,26477,,1541191734,222543238,'',1.5625
1541191734242211580,,26478,,1541191734,242041764,'',1.75
1541191734261754160,,26479,,1541191734,261570186,'',1.625
1541191734282075770,,26480,,1541191734,281945569,'',1.625
1541191734301718960,,26481,,1541191734,301527478,'',1.6875
1541191734322725494,,26482,,1541191734,322516928,'',1.8125
1541191734341643839,,26483,,1541191734,341502905,'',1.6875
1541191734362328462,,26484,,1541191734,362094987,'',1.5625
1541191734382682652,,26485,,1541191734,382501978,'',1.6875
1541191734402236441,,26486,,1541191734,402078967,'',1.625
1541191734421948226,,26487,,1541191734,421725600,'',1.625
1541191734441720253,,26488,,1541191734,441535342,'',1.5625
1541191734462430266,,26489,,1541191734,462304629,'',1.5625
1541191734482024093,,26490,,1541191734,481916068,'',1.5625
1541191734501703186,,26491,,1541191734,501497293,'',1.625
1541191734522582416,,26492,,1541191734,522461273,'',1.625
1541191734542542181,,26493,,1541191734,542423512,'',1.625
1541191734562580582,,26494,,1541191734,562471982,'',1.625
1541191734582536573,,26495,,1541191734,582409659,'',1.625
1541191734602332062,,26496,,1541191734,602236012,'',1.4375
1541191734622057232,,26497,,1541191734,621946376,'',1.5
1541191734642169233,,26498,,1541191734,642035157,'',1.5
1541191734662580431,,26499,,1541191734,662421059,'',1.4375
1541191734681672045,,26500,,1541191734,681440521,'',1.5625
1541191734702617061,,26501,,1541191734,702500277,'',1.5625
1541191734721748146,,26502,,1541191734,721542224,'',1.5
1541191734742652109,,26503,,1541191734,742408546,'',1.375
1541191734762329682,,26504,,1541191734,762213482,'',1.4375
1541191734783069891,,26505,,1541191734,782400013,'',1.5
1541191734802164943,,26506,,1541191734,802056479,'',1.4375
1541191734822516248,,26507,,1541191734,822375883,'',1.1875
1541191734842236117,,26508,,1541191734,842040502,'',1.25
1541191734862554006,,26509,,1541191734,862395320,'',1.3125
1541191734882233239,,26510,,1541191734,882093916,'',1.375
1541191734902555322,,26511,,1541191734,902402279,'',1.1875
1541191734921835256,,26512,,1541191734,921751460,'',1.25
1541191734942461894,,26513,,1541191734,942333046,'',1.25
1541191734961539307,,26514,,1541191734,961380589,'',1.25
1541191734981520587,,26515,,1541191734,981367362,'',1.3125
1541191735002410219,,26516,,1541191735,2279772,'',1.25
1541191735021548150,,26517,,1541191735,21372444,'',1.25
1541191735041459738,,26518,,1541191735,41321063,'',1.25
1541191735061523762,,26519,,1541191735,61360728,'',1.3125
1541191735081879657,,26520,,1541191735,81678698,'',1.25
1541191735102482549,,26521,,1541191735,102346570,'',1.3125
1541191735121505873,,26522,,1541191735,121306204,'',1.3125
1541191735141474383,,26523,,1541191735,141299697,'',1.3125
1541191735161529483,,26524,,1541191735,161297035,'',1.25
1541191735182403603,,26525,,1541191735,182266369,'',1.375
1541191735202177707,,26526,,1541191735,202034967,'',1.4375
1541191735221995082,,26527,,1541191735,221761301,'',1.4375
1541191735242213272,,26528,,1541191735,242034896,'',1.5
1541191735262391603,,26529,,1541191735,262265333,'',1.625
1541191735281525037,,26530,,1541191735,281323289,'',1.375
1541191735302362475,,26531,,1541191735,302252545,'',1.375
1541191735321947336,,26532,,1541191735,321625349,'',1.3125
1541191735342365023,,26533,,1541191735,342212098,'',1.3125
1541191735361471322,,26534,,1541191735,361245773,'',1.1875
1541191735382414923,,26535,,1541191735,382249546,'',1.0625
1541191735402210570,,26536,,1541191735,402090819,'',0.875
1541191735422779492,,26537,,1541191735,422201154,'',0.8125
1541191735441522425,,26538,,1541191735,441377034,'',0.875
1541191735462044049,,26539,,1541191735,461951339,'',0.875
1541191735482372404,,26540,,1541191735,482233925,'',0.875
1541191735502304616,,26541,,1541191735,502210373,'',0.8125
1541191735522257697,,26542,,1541191735,522160764,'',0.9375
1541191735542352212,,26543,,1541191735,542187096,'',1.0625
1541191735562377792,,26544,,1541191735,562235924,'',0.9375
1541191735582261116,,26545,,1541191735,582157372,'',1.0625
1541191735602323603,,26546,,1541191735,602185652,'',1.125
1541191735622366043,,26547,,1541191735,622232161,'',1.375
1541191735642319324,,26548,,1541191735,642158941,'',0.8125
1541191735661309691,,26549,,1541191735,661174472,'',1.25
1541191735681346459,,26550,,1541191735,681136241,'',0.8125
1541191735702248761,,26551,,1541191735,702139734,'',0.9375
1541191735722289799,,26552,,1541191735,722138704,'',0.625
1541191735741322648,,26553,,1541191735,741128784,'',0.8125
1541191735761299304,,26554,,1541191735,761150266,'',0.75
1541191735781304096,,26555,,1541191735,781140309,'',0.5625
1541191735801339526,,26556,,1541191735,801124404,'',1.0625
1541191735821454415,,26557,,1541191735,821240489,'',0.8125
1541191735841267303,,26558,,1541191735,841085637,'',0.8125
1541191735861239726,,26559,,1541191735,861093308,'',0.75
1541191735881355633,,26560,,1541191735,881164239,'',0.5625
1541191735901218827,,26561,,1541191735,901081780,'',0.8125
1541191735921311120,,26562,,1541191735,921099103,'',0.6875
1541191735941362438,,26563,,1541191735,941172060,'',0.625
1541191735961307645,,26564,,1541191735,961087455,'',0.75
1541191735981349265,,26565,,1541191735,981141491,'',1.0
1541191736001269021,,26566,,1541191736,1110420,'',1.125
1541191736021427518,,26567,,1541191736,21108422,'',1.25
1541191736041252394,,26568,,1541191736,41066524,'',1.3125
1541191736061302625,,26569,,1541191736,61143691,'',1.5625
1541191736081299975,,26570,,1541191736,81036627,'',1.4375
1541191736101352056,,26571,,1541191736,101153228,'',1.375
1541191736121419510,,26572,,1541191736,121077309,'',1.4375
1541191736141312317,,26573,,1541191736,141080108,'',1.5625
1541191736161199708,,26574,,1541191736,161065177,'',1.5
1541191736181498907,,26575,,1541191736,181290640,'',1.5
1541191736201237498,,26576,,1541191736,201040296,'',1.5625
1541191736222180553,,26577,,1541191736,222008619,'',1.5625
1541191736241270264,,26578,,1541191736,241084345,'',1.5625
1541191736262094234,,26579,,1541191736,261980996,'',1.5
1541191736281323299,,26580,,1541191736,281087398,'',1.5625
1541191736301236380,,26581,,1541191736,301104460,'',1.75
1541191736321523528,,26582,,1541191736,321353881,'',1.75
1541191736341368237,,26583,,1541191736,341107723,'',1.5625
1541191736361304233,,26584,,1541191736,361161492,'',1.75
1541191736382139900,,26585,,1541191736,381947786,'',1.625
1541191736401229546,,26586,,1541191736,401067284,'',1.5625
1541191736422043921,,26587,,1541191736,421946085,'',1.25
1541191736442094207,,26588,,1541191736,441964345,'',1.5
1541191736461512732,,26589,,1541191736,461310910,'',1.5625
1541191736481311503,,26590,,1541191736,481111787,'',1.375
1541191736501239076,,26591,,1541191736,501069678,'',1.4375
1541191736522055255,,26592,,1541191736,521909654,'',1.375
1541191736541393211,,26593,,1541191736,541184336,'',1.4375
1541191736561182510,,26594,,1541191736,561031151,'',1.5
1541191736582182026,,26595,,1541191736,582045932,'',1.4375
1541191736601348824,,26596,,1541191736,601151837,'',1.375
1541191736622109414,,26597,,1541191736,621941243,'',1.375
1541191736641237640,,26598,,1541191736,641074657,'',1.4375
1541191736661230252,,26599,,1541191736,661064337,'',1.3125
1541191736681256175,,26600,,1541191736,681074786,'',1.3125
1541191736701224429,,26601,,1541191736,701055400,'',1.1875
1541191736722025402,,26602,,1541191736,721858115,'',1.0625
1541191736741331661,,26603,,1541191736,741095801,'',1.125
1541191736761330153,,26604,,1541191736,761149049,'',1.0625
1541191736781439542,,26605,,1541191736,781297693,'',1.125
1541191736801226980,,26606,,1541191736,801052753,'',1.1875
1541191736822081660,,26607,,1541191736,821860820,'',1.125
1541191736841248025,,26608,,1541191736,841078068,'',1.125
1541191736861965266,,26609,,1541191736,861857288,'',1.125
1541191736881384926,,26610,,1541191736,881241018,'',1.0
1541191736901376756,,26611,,1541191736,901183862,'',1.0625
1541191736921934348,,26612,,1541191736,921822626,'',1.0625
1541191736941257987,,26613,,1541191736,941135798,'',0.9375
1541191736961336551,,26614,,1541191736,961175347,'',0.9375
1541191736982031851,,26615,,1541191736,981854183,'',1.0
1541191737001285076,,26616,,1541191737,1122196,'',0.9375
1541191737022423781,,26617,,1541191737,21818119,'',1.0
1541191737041284698,,26618,,1541191737,41074539,'',0.875
1541191737061255254,,26619,,1541191737,61102582,'',0.75
1541191737081443494,,26620,,1541191737,81158225,'',0.8125
1541191737101285878,,26621,,1541191737,101150753,'',0.75
1541191737121927868,,26622,,1541191737,121754095,'',0.8125
1541191737141330251,,26623,,1541191737,141134610,'',0.8125
1541191737161215513,,26624,,1541191737,161055522,'',0.75
1541191737181331687,,26625,,1541191737,181147462,'',0.875
1541191737201271586,,26626,,1541191737,201089365,'',0.875
1541191737221901063,,26627,,1541191737,221722589,'',0.9375
1541191737241271797,,26628,,1541191737,241098051,'',1.0
1541191737261207781,,26629,,1541191737,261059544,'',1.125
1541191737281300209,,26630,,1541191737,281117670,'',1.1875
1541191737301353719,,26631,,1541191737,301188497,'',1.0
1541191737321878757,,26632,,1541191737,321719970,'',1.3125
1541191737341296184,,26633,,1541191737,341111682,'',1.375
1541191737361251968,,26634,,1541191737,361112057,'',1.4375
1541191737381455267,,26635,,1541191737,381287611,'',1.125
1541191737401259631,,26636,,1541191737,401098394,'',1.5625
1541191737421899905,,26637,,1541191737,421690200,'',0.8125
1541191737441372000,,26638,,1541191737,441189648,'',1.6875
1541191737461856321,,26639,,1541191737,461687745,'',0.9375
1541191737481319772,,26640,,1541191737,481141320,'',1.5
1541191737501421597,,26641,,1541191737,501183273,'',1.25
1541191737522020817,,26642,,1541191737,521642098,'',1.5
1541191737541520314,,26643,,1541191737,541160354,'',1.5625
1541191737561483670,,26644,,1541191737,561300921,'',1.4375
1541191737581858825,,26645,,1541191737,581667140,'',1.375
1541191737601369163,,26646,,1541191737,601160176,'',1.5
1541191737622031470,,26647,,1541191737,621640555,'',1.4375
1541191737641793781,,26648,,1541191737,641622541,'',1.25
1541191737661434047,,26649,,1541191737,661253308,'',1.25
1541191737681396532,,26650,,1541191737,681243021,'',1.3125
1541191737701823304,,26651,,1541191737,701632369,'',1.0
1541191737721823370,,26652,,1541191737,721585987,'',0.75
1541191737741362062,,26653,,1541191737,741176822,'',1.5625
1541191737761253644,,26654,,1541191737,761101637,'',0.8125
1541191737781241441,,26655,,1541191737,781038709,'',1.375
1541191737801297646,,26656,,1541191737,801106195,'',1.375
1541191737821796100,,26657,,1541191737,821566686,'',1.625
1541191737841382433,,26658,,1541191737,841083035,'',1.1875
1541191737861341068,,26659,,1541191737,861201420,'',1.3125
1541191737881340808,,26660,,1541191737,881134480,'',1.1875
1541191737901311170,,26661,,1541191737,901153261,'',1.125
1541191737921711184,,26662,,1541191737,921515991,'',1.0625
1541191737941803191,,26663,,1541191737,941573381,'',0.9375
1541191737961305012,,26664,,1541191737,961152386,'',0.9375
1541191737981668912,,26665,,1541191737,981514907,'',0.5625
1541191738001251386,,26666,,1541191738,1104012,'',0.75
1541191738021679493,,26667,,1541191738,21493558,'',0.5
1541191738041395694,,26668,,1541191738,41125741,'',0.6875
1541191738061654099,,26669,,1541191738,61491767,'',0.6875
1541191738081668079,,26670,,1541191738,81505017,'',0.8125
1541191738101442605,,26671,,1541191738,101238917,'',0.6875
1541191738121687987,,26672,,1541191738,121473329,'',0.625
1541191738141381428,,26673,,1541191738,141141992,'',0.9375
1541191738161426678,,26674,,1541191738,161261831,'',0.4375
1541191738181630707,,26675,,1541191738,181482690,'',0.625
1541191738201346958,,26676,,1541191738,201128208,'',0.5
1541191738221674080,,26677,,1541191738,221468224,'',0.8125
1541191738241327719,,26678,,1541191738,241110872,'',0.25
1541191738261307134,,26679,,1541191738,261129365,'',0.875
1541191738281598277,,26680,,1541191738,281431027,'',0.8125
1541191738301605095,,26681,,1541191738,301453778,'',0.75
1541191738321625193,,26682,,1541191738,321417074,'',0.6875
1541191738341533162,,26683,,1541191738,341392443,'',0.5625
1541191738361658589,,26684,,1541191738,361479042,'',0.625
1541191738381619641,,26685,,1541191738,381448604,'',0.6875
1541191738401319422,,26686,,1541191738,401139150,'',0.5625
1541191738421580802,,26687,,1541191738,421389330,'',0.375
1541191738441486405,,26688,,1541191738,441340920,'',0.1875
1541191738461564081,,26689,,1541191738,461348691,'',0.6875
1541191738481561633,,26690,,1541191738,481393408,'',0.6875
1541191738501332904,,26691,,1541191738,501175830,'',0.6875
1541191738521695463,,26692,,1541191738,521405946,'',0.6875
1541191738541549171,,26693,,1541191738,541356127,'',1.0
1541191738561279386,,26694,,1541191738,561118766,'',0.875
1541191738581362907,,26695,,1541191738,581163786,'',1.0625
1541191738601537230,,26696,,1541191738,601371859,'',0.75
1541191738621413176,,26697,,1541191738,621165411,'',0.75
1541191738641848496,,26698,,1541191738,641698948,'',0.8125
1541191738661736698,,26699,,1541191738,661636010,'',0.75
1541191738681594501,,26700,,1541191738,681378859,'',0.875
1541191738701402789,,26701,,1541191738,701224444,'',0.8125
1541191738721763270,,26702,,1541191738,721366338,'',0.8125
1541191738741444497,,26703,,1541191738,741193929,'',0.75
1541191738761340493,,26704,,1541191738,761173865,'',0.6875
1541191738781518936,,26705,,1541191738,781342061,'',0.875
1541191738801327641,,26706,,1541191738,801136522,'',0.75
1541191738821487199,,26707,,1541191738,821302486,'',0.9375
1541191738841615564,,26708,,1541191738,841330774,'',1.0
1541191738861424851,,26709,,1541191738,861254884,'',1.125
1541191738881549668,,26710,,1541191738,881382063,'',1.25
1541191738901558569,,26711,,1541191738,901331635,'',1.375
1541191738921470669,,26712,,1541191738,921273313,'',1.0625
1541191738941483499,,26713,,1541191738,941290816,'',1.375
1541191738961516972,,26714,,1541191738,961305602,'',0.9375
1541191738981450941,,26715,,1541191738,981305630,'',1.0625
1541191739001385073,,26716,,1541191739,1153220,'',1.125
1541191739021379578,,26717,,1541191739,21228282,'',1.125
1541191739041435626,,26718,,1541191739,41215601,'',1.1875
1541191739060302935,,26719,,1541191739,60171290,'',1.25
1541191739081503826,,26720,,1541191739,81358405,'',1.125
1541191739101430106,,26721,,1541191739,101237329,'',1.3125
1541191739121453342,,26722,,1541191739,121204827,'',1.375
