rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,tire_press_lf,tire_press_rf,tire_press_rr_orr,tire_press_lr_olr,tire_press_rr_irr,tire_press_lr_ilr
1541191784630151744,,1159,,1541191784,629973710,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191785130043503,,1160,,1541191785,129888491,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191785630263410,,1161,,1541191785,630141421,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191786130178610,,1162,,1541191786,130028005,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191786630213160,,1163,,1541191786,630062069,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191787130171530,,1164,,1541191787,129934766,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191787634136892,,1165,,1541191787,634030400,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191788130127532,,1166,,1541191788,130004293,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191788630354264,,1167,,1541191788,630155203,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191789130303008,,1168,,1541191789,130099234,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191789630350096,,1169,,1541191789,630184336,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191790131210431,,1170,,1541191790,131048178,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191790630318046,,1171,,1541191790,630210915,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191791130357153,,1172,,1541191791,130173336,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191791630350736,,1173,,1541191791,630267984,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191792130389932,,1174,,1541191792,130258062,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191792630438065,,1175,,1541191792,630237717,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191793131380575,,1176,,1541191793,131213054,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191793630544626,,1177,,1541191793,630398356,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191794131417905,,1178,,1541191794,131280894,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191794630621997,,1179,,1541191794,630489807,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191795130538119,,1180,,1541191795,130383497,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191975642410186,,1541,,1541191975,642309915,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191976144328605,,1542,,1541191976,144227390,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191976642184608,,1543,,1541191976,642059614,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191977142025579,,1544,,1541191977,141924278,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191977641852853,,1545,,1541191977,641757106,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191978141747064,,1546,,1541191978,141637532,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191978641605439,,1547,,1541191978,641486191,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191979141446583,,1548,,1541191979,141347026,'',32.0,29.0,33.0,34.0,255.0,255.0
