rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,throttle_rate,throttle_pc,engine_rpm
1541198209053180770,,53756,,1541198209,53002359,'',11.6000003815,0.0,1424.0
1541198209061432220,,53757,,1541198209,61121893,'',11.6000003815,0.0,1420.0
1541198209073560278,,53758,,1541198209,73397414,'',11.6000003815,0.0,1424.0
1541198209081974445,,53759,,1541198209,81823648,'',11.6000003815,0.0,1424.0
1541198209093561255,,53760,,1541198209,93330657,'',11.6000003815,0.0,1424.0
1541198209101464130,,53761,,1541198209,101371296,'',11.6000003815,0.0,1424.0
1541198209112605548,,53762,,1541198209,112433238,'',11.6000003815,0.0,1424.0
1541198209121870823,,53763,,1541198209,121770590,'',11.6000003815,0.0,1424.0
1541198209132607284,,53764,,1541198209,132404273,'',11.6000003815,0.0,1428.0
1541198209141701053,,53765,,1541198209,141522200,'',11.6000003815,0.0,1426.0
1541198209153158188,,53766,,1541198209,153002166,'',11.6000003815,0.0,1426.0
1541198209161201854,,53767,,1541198209,161077482,'',11.6000003815,0.0,1426.0
1541198209172561202,,53768,,1541198209,172432718,'',11.6000003815,0.0,1428.0
1541198209181056606,,53769,,1541198209,180948320,'',11.6000003815,0.0,1428.0
1541198209193669621,,53770,,1541198209,193415037,'',11.6000003815,0.0,1426.0
1541198209201649085,,53771,,1541198209,201526285,'',11.6000003815,0.0,1426.0
1541198209213603627,,53772,,1541198209,213456084,'',11.6000003815,0.0,1428.0
1541198209221681833,,53773,,1541198209,221542347,'',11.6000003815,0.0,1428.0
1541198209233460329,,53774,,1541198209,233238401,'',11.6000003815,0.0,1426.0
1541198209241438563,,53775,,1541198209,241327834,'',11.6000003815,0.0,1426.0
1541198209253008839,,53776,,1541198209,252906400,'',11.6000003815,0.0,1426.0
1541198209261159887,,53777,,1541198209,261018212,'',11.6000003815,0.0,1428.0
1541198209272611962,,53778,,1541198209,272459573,'',11.6000003815,0.0,1424.0
1541198209281642973,,53779,,1541198209,281545333,'',11.6000003815,0.0,1424.0
1541198209294108713,,53780,,1541198209,293978212,'',11.6000003815,0.0,1422.0
1541198209301162462,,53781,,1541198209,301050261,'',11.6000003815,0.0,1422.0
1541198209312546979,,53782,,1541198209,312418463,'',11.6000003815,0.0,1420.0
1541198209321935322,,53783,,1541198209,321807948,'',11.6000003815,0.0,1420.0
1541198209332801381,,53784,,1541198209,332501946,'',11.6000003815,0.0,1418.0
1541198209341647759,,53785,,1541198209,341524016,'',11.6000003815,0.0,1418.0
1541198209353041210,,53786,,1541198209,352930154,'',11.6000003815,0.0,1418.0
1541198209361353121,,53787,,1541198209,361072394,'',11.6000003815,0.0,1418.0
